Horizon = 0, #Requesters = 3, #O = 0, #UG = 7, #C = 3, Computation time = 0.024347, Horizon length = 1, #Active robots = 3
Horizon = 1, #Requesters = 3, #O = 0, #UG = 7, #C = 6, Computation time = 0.002431, Horizon length = 1, #Active robots = 3
Horizon = 2, #Requesters = 3, #O = 0, #UG = 7, #C = 9, Computation time = 0.001507, Horizon length = 1, #Active robots = 3
Horizon = 3, #Requesters = 3, #O = 0, #UG = 8, #C = 12, Computation time = 0.002751, Horizon length = 1, #Active robots = 3
Horizon = 4, #Requesters = 3, #O = 0, #UG = 9, #C = 15, Computation time = 0.003225, Horizon length = 1, #Active robots = 3
Horizon = 5, #Requesters = 3, #O = 0, #UG = 10, #C = 18, Computation time = 0.000650, Horizon length = 1, #Active robots = 3
Horizon = 6, #Requesters = 3, #O = 0, #UG = 11, #C = 21, Computation time = 0.001029, Horizon length = 1, #Active robots = 3
Horizon = 7, #Requesters = 3, #O = 0, #UG = 12, #C = 24, Computation time = 0.002644, Horizon length = 1, #Active robots = 3
Horizon = 8, #Requesters = 3, #O = 0, #UG = 12, #C = 27, Computation time = 0.000680, Horizon length = 1, #Active robots = 3
Horizon = 9, #Requesters = 3, #O = 0, #UG = 11, #C = 30, Computation time = 0.001071, Horizon length = 1, #Active robots = 3
Horizon = 10, #Requesters = 2, #O = 0, #UG = 10, #C = 32, Computation time = 0.000977, Horizon length = 1, #Active robots = 2
Horizon = 11, #Requesters = 2, #O = 0, #UG = 11, #C = 33, Computation time = 0.001385, Horizon length = 1, #Active robots = 2
Horizon = 12, #Requesters = 3, #O = 0, #UG = 12, #C = 35, Computation time = 0.001643, Horizon length = 1, #Active robots = 3
Horizon = 13, #Requesters = 2, #O = 0, #UG = 11, #C = 37, Computation time = 0.000543, Horizon length = 1, #Active robots = 3
Horizon = 14, #Requesters = 2, #O = 0, #UG = 11, #C = 39, Computation time = 0.001778, Horizon length = 1, #Active robots = 3
Horizon = 15, #Requesters = 2, #O = 0, #UG = 11, #C = 41, Computation time = 0.001098, Horizon length = 1, #Active robots = 3
Horizon = 16, #Requesters = 2, #O = 0, #UG = 10, #C = 43, Computation time = 0.001094, Horizon length = 1, #Active robots = 3
Horizon = 17, #Requesters = 3, #O = 0, #UG = 11, #C = 46, Computation time = 0.000676, Horizon length = 1, #Active robots = 3
Horizon = 18, #Requesters = 2, #O = 0, #UG = 11, #C = 48, Computation time = 0.002003, Horizon length = 1, #Active robots = 3
Horizon = 19, #Requesters = 3, #O = 0, #UG = 12, #C = 51, Computation time = 0.002359, Horizon length = 1, #Active robots = 3
Horizon = 20, #Requesters = 3, #O = 0, #UG = 11, #C = 54, Computation time = 0.000590, Horizon length = 1, #Active robots = 3
Horizon = 21, #Requesters = 3, #O = 0, #UG = 10, #C = 57, Computation time = 0.000927, Horizon length = 1, #Active robots = 3
Horizon = 22, #Requesters = 2, #O = 0, #UG = 9, #C = 59, Computation time = 0.000599, Horizon length = 1, #Active robots = 3
Horizon = 23, #Requesters = 2, #O = 0, #UG = 9, #C = 61, Computation time = 0.000850, Horizon length = 1, #Active robots = 3
Horizon = 24, #Requesters = 2, #O = 0, #UG = 9, #C = 63, Computation time = 0.000957, Horizon length = 1, #Active robots = 3
Horizon = 25, #Requesters = 3, #O = 0, #UG = 10, #C = 66, Computation time = 0.001124, Horizon length = 1, #Active robots = 3
Horizon = 26, #Requesters = 3, #O = 0, #UG = 10, #C = 69, Computation time = 0.001094, Horizon length = 1, #Active robots = 3
Horizon = 27, #Requesters = 3, #O = 0, #UG = 10, #C = 72, Computation time = 0.000946, Horizon length = 1, #Active robots = 3
Horizon = 28, #Requesters = 3, #O = 0, #UG = 10, #C = 75, Computation time = 0.000681, Horizon length = 1, #Active robots = 3
Horizon = 29, #Requesters = 3, #O = 0, #UG = 10, #C = 78, Computation time = 0.000896, Horizon length = 1, #Active robots = 3
Horizon = 30, #Requesters = 3, #O = 0, #UG = 10, #C = 81, Computation time = 0.000683, Horizon length = 1, #Active robots = 3
Horizon = 31, #Requesters = 3, #O = 0, #UG = 10, #C = 84, Computation time = 0.002083, Horizon length = 1, #Active robots = 3
Horizon = 32, #Requesters = 3, #O = 0, #UG = 10, #C = 87, Computation time = 0.000446, Horizon length = 1, #Active robots = 3
Horizon = 33, #Requesters = 3, #O = 0, #UG = 9, #C = 90, Computation time = 0.000745, Horizon length = 1, #Active robots = 3
Horizon = 34, #Requesters = 3, #O = 0, #UG = 7, #C = 93, Computation time = 0.001241, Horizon length = 1, #Active robots = 2
Horizon = 35, #Requesters = 3, #O = 0, #UG = 5, #C = 95, Computation time = 0.000532, Horizon length = 1, #Active robots = 1
Horizon = 36, #Requesters = 3, #O = 0, #UG = 4, #C = 96, Computation time = 0.000784, Horizon length = 1, #Active robots = 1
Horizon = 37, #Requesters = 3, #O = 0, #UG = 3, #C = 97, Computation time = 0.000860, Horizon length = 3, #Active robots = 2
Horizon = 38, #Requesters = 2, #O = 0, #UG = 0, #C = 100, Computation time = 0.000003, Horizon length = 4, #Active robots = 1
